# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=10
# for k=1.05614e-05 to 105.723 h/Mpc,
# number of wavenumbers equal to 132
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_ncdm[1]              7:d_ncdm[2]              8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime          
       1.393663334128e-01      -9.156454527575e-02      -1.783191740140e+03      -1.839421560581e+03      -2.465286573784e-01      -2.465286573781e-01      -2.465286573783e-01      -1.822387444227e+03       5.537057313745e-02       5.537057027555e-02       3.678843121161e+03       1.534318132901e+00       9.237642773153e-02      -1.297223519088e-07 
       1.440407952020e-01      -8.737214390625e-02      -1.813771766960e+03      -1.875785896207e+03      -2.354076700810e-01      -2.354076700810e-01      -2.354076700808e-01      -1.857688155747e+03       5.283915190609e-02       5.283914935640e-02       3.751571792413e+03       1.564080166755e+00       8.815411612087e-02      -1.244065239987e-07 
       1.488671559541e-01      -8.302507018575e-02      -1.834983408921e+03      -1.905242756706e+03      -2.257891346802e-01      -2.257891346793e-01      -2.257891346803e-01      -1.885729737139e+03       5.021525913536e-02       5.021525683248e-02       3.810485513412e+03       1.587748602224e+00       8.377779369424e-02      -1.190306345210e-07 
       1.538516019579e-01      -7.870666852439e-02      -1.851037362422e+03      -1.930649907872e+03      -2.148856741165e-01      -2.148856741162e-01      -2.148856741166e-01      -1.909567512671e+03       4.760855590184e-02       4.760855384393e-02       3.861299815744e+03       1.607883821323e+00       7.943011288188e-02      -1.136647281129e-07 
       1.590003442684e-01      -7.462408591215e-02      -1.868184663950e+03      -1.956442682274e+03      -2.028659301872e-01      -2.028659301872e-01      -2.028659301870e-01      -1.933899255004e+03       4.514313834949e-02       4.514313653686e-02       3.912885364547e+03       1.628425856032e+00       7.531781854862e-02      -1.084190722720e-07 
       1.643196280725e-01      -7.095685915823e-02      -1.893340756295e+03      -1.987681244228e+03      -1.909534263844e-01      -1.909534263846e-01      -1.909534263847e-01      -1.964050911409e+03       4.292673731708e-02       4.292673573225e-02       3.975362488457e+03       1.653844100847e+00       7.162043434814e-02      -1.034123926725e-07 
       1.698157439182e-01      -6.780598343210e-02      -1.932108855169e+03      -2.028620852623e+03      -1.830660439422e-01      -1.830660439425e-01      -1.830660439426e-01      -2.004468245796e+03       4.102015505741e-02       4.102015363106e-02       4.057241705247e+03       1.687871847402e+00       6.843933125802e-02      -9.874351642690e-08 
       1.754950416933e-01      -6.516001029874e-02      -1.986727400987e+03      -2.081180490102e+03      -1.819019716650e-01      -1.819019716650e-01      -1.819019716648e-01      -2.057111291083e+03       3.941686703136e-02       3.941686567027e-02       4.162360980203e+03       1.732158533491e+00       6.576372216183e-02      -9.447752812745e-08 
       1.813639482295e-01      -6.289266233908e-02      -2.054703750954e+03      -2.143868884708e+03      -1.753729013308e-01      -1.753729013307e-01      -1.753729013307e-01      -2.120339704063e+03       3.804149125713e-02       3.804149003019e-02       4.287737769416e+03       1.785333196818e+00       6.346808676280e-02      -9.060240727125e-08 
       1.874289893976e-01      -6.080662133255e-02      -2.129205356292e+03      -2.212043596040e+03      -1.634421445054e-01      -1.634421445053e-01      -1.634421445051e-01      -2.189191300727e+03       3.677597477962e-02       3.677597373940e-02       4.424087192080e+03       1.843237160250e+00       6.135578677234e-02      -8.698639394237e-08 
